title,genre,language,imdb_score,premiere,runtime,year
Struggle: The Life and Lost Art of Szukaiski,Documentary,English,8.0,12/21/2018,105,2018-01-01
1922,Horror/Crime drama,English,6.3,10/20/2017,102,2017-01-01
22-Jul,Drama,English,6.8,10/10/2018,144,2018-01-01
Hot Girls Wanted,Documentary,English,6.1,5/29/2015,84,2015-01-01
Klaus,Animation/Christmas/Comedy/Adventure,English,8.2,11/15/2019,97,2019-01-01
The Boys in the Band: Something Personal,Aftershow / Interview,English,6.8,9/30/2020,28,2020-01-01
I Don't Feel at Home in This World Anymore,Drama,English,6.9,2/24/2017,96,2017-01-01
Earth and Blood,Action,French,4.9,4/17/2020,80,2020-01-01
Nobody Speak: Trials of the Free Press,Documentary,English,6.5,6/23/2017,95,2017-01-01
Òlòt?ré,Crime drama,English,5.5,10/2/2020,106,2020-01-01
The Prom,Musical,English,5.9,12/11/2020,132,2020-01-01
Fractured,Thriller,English,6.4,10/11/2019,100,2019-01-01
The Irishman: In Conversation,Aftershow / Interview,English,7.4,11/27/2019,23,2019-01-01
7 años,Drama,Spanish,6.8,10/28/2016,76,2016-01-01
Antoine Griezmann: The Making of a Legend,Documentary,French,6.5,3/21/2019,60,2019-01-01
Fatal Affair,Thriller,English,4.5,7/16/2020,89,2020-01-01
Ben Platt: Live from Radio City Music Hall,Concert Film,English,8.4,5/20/2020,85,2020-01-01
First Match,Sports-drama,English,6.4,3/30/2018,102,2018-01-01
Coffee & Kareem,Action comedy,English,5.1,4/3/2020,88,2020-01-01
You've Got This,Romantic comedy,Spanish,5.8,10/2/2020,111,2020-01-01
A Week Away,Christian musical,English,5.7,3/26/2021,97,2021-01-01
The 40-Year-Old Version,Comedy,English,7.2,10/9/2020,124,2020-01-01
What Happened to Mr. Cha?,Comedy,Korean,4.3,1/1/2021,102,2021-01-01
Finding Agnes,Drama,Filipino,4.7,11/30/2020,105,2020-01-01
A Whisker Away,Anime/Fantasy,Japanese,6.7,6/18/2020,104,2020-01-01
Ghost Lab,Horror,Thai,5.2,5/26/2021,117,2021-01-01
ReMastered: Tricky Dick & the Man in Black,Documentary,English,7.1,11/2/2018,58,2018-01-01
Handsome: A Netflix Mystery Movie,Comedy,English,5.2,5/5/2017,81,2017-01-01
Rim of the World,Science fiction adventure,English,5.2,5/24/2019,98,2019-01-01
Notes from Dunblane: Lesson from a School Shooting,Documentary,English,5.9,9/28/2018,23,2018-01-01
Homecoming: A Film by Beyonce ,Documentary,English,7.5,4/17/2019,137,2019-01-01
Miss Americana,Documentary,English,7.4,1/31/2020,85,2020-01-01
Always Be My Maybe,Romantic comedy,English,6.8,5/31/2019,102,2019-01-01
Holiday in the Wild,Adventure-romance,English,6.1,11/1/2019,85,2019-01-01
Dude,Teen comedy-drama,English,5.1,4/20/2018,97,2018-01-01
Zion ,Documentary,English,7.2,8/10/2018,11,2018-01-01
Paris Is Us,Romance drama,French,4.6,2/22/2019,83,2019-01-01
Candy Jar,Comedy,English,5.8,4/27/2018,92,2018-01-01
Blame!,Anime/Science fiction,Japanese,6.7,5/20/2017,106,2017-01-01
American Factory: A Conversation with the Obamas ,Aftershow / Interview,English,5.2,8/21/2019,10,2019-01-01
Maska,Romantic comedy,Hindi,5.9,3/27/2020,111,2020-01-01
AK vs AK,Thriller,Hindi,6.9,12/24/2020,108,2020-01-01
Eli,Horror,English,5.7,10/18/2019,98,2019-01-01
A Christmas Prince,Romantic comedy,English,5.8,11/17/2017,92,2017-01-01
The Babysitter,Teen comedy horror,English,6.3,10/13/2017,85,2017-01-01
I'm Thinking of Ending Things,Psychological thriller,English,6.6,9/4/2020,134,2020-01-01
Death Note,Horror thriller,English,4.4,8/25/2017,100,2017-01-01
El Camino: A Breaking Bad Movie,Crime drama,English,7.3,10/11/2019,121,2019-01-01
Los Tigres del Norte at Folsom Prison,Documentary,Spanish,7.0,9/15/2019,64,2019-01-01
They'll Love Me When I'm Dead,Documentary,English,7.4,11/2/2018,98,2018-01-01
The Christmas Chronicles: Part Two,Christmas comedy,English,6.0,11/25/2020,115,2020-01-01
Pele,Documentary,English,7.0,2/23/2021,108,2021-01-01
Mowgli: Legend of the Jungle,Adventure,English,6.5,12/7/2018,104,2018-01-01
Have You Ever Seen Fireflies?,Comedy,Turkish,6.2,4/9/2021,114,2021-01-01
High Flying Bird,Sports-drama,English,6.2,2/8/2019,90,2019-01-01
Malcolm & Marie,Romantic drama,English,6.7,2/5/2021,106,2021-01-01
Chasing Coral ,Documentary,English,8.1,7/14/2017,89,2017-01-01
The Ridiculous 6,Western,English,4.8,12/11/2015,119,2015-01-01
Stuck Apart,Drama,Turkish,6.1,1/8/2021,96,2021-01-01
John Was Trying to Contact Aliens,Documentary,English,6.4,8/20/2020,16,2020-01-01
Barry,Biopic,English,5.8,12/16/2016,104,2016-01-01
Rising Phoenix,Documentary,English,8.1,8/26/2020,106,2020-01-01
Joan Didion: The Center Will Not Hold,Documentary,English,7.5,10/27/2017,98,2017-01-01
Feminists: What Were They Thinking?,Documentary,English,7.0,10/12/2018,86,2018-01-01
Okja,Action-adventure,English/Korean,7.3,6/28/2017,121,2017-01-01
Extremis,Documentary,English,7.3,9/13/2016,24,2016-01-01
Been So Long,Musical,English,5.5,10/26/2018,100,2018-01-01
To All the Boys: Always and Forever,Romantic comedy,English,6.3,2/12/2021,109,2021-01-01
The Black Godfather,Documentary,English,7.4,6/7/2019,118,2019-01-01
Ajeeb Daastaans,Drama,Hindi,6.7,4/16/2021,142,2021-01-01
Da 5 Bloods,War drama,English,6.5,6/12/2020,155,2020-01-01
The Week Of,Comedy,English,5.2,4/27/2018,116,2018-01-01
The Last Paradiso,Romantic drama,Italian,5.6,2/5/2021,107,2021-01-01
I'll Sleep When I'm Dead,Documentary,English,6.6,8/19/2016,79,2016-01-01
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,English,7.0,12/18/2020,31,2020-01-01
Amateur,Sports-drama,English,5.9,4/6/2018,96,2018-01-01
Take the 10,Comedy,English,4.8,1/20/2017,80,2017-01-01
Have a Good Trip: Adventures in Psychedelics,Documentary,English,6.8,5/11/2020,85,2020-01-01
Rebecca,Romantic thriller,English,6.0,10/21/2020,123,2020-01-01
6 Underground,Action,English,6.1,12/13/2019,128,2019-01-01
Tell Me Who I Am,Documentary,English,7.6,10/18/2019,85,2019-01-01
Project Power,Superhero,English,6.0,8/14/2020,113,2020-01-01
The Dig,Drama,English,7.1,1/29/2021,112,2021-01-01
A Very Murray Christmas,Comedy / Musical,English,5.5,12/4/2015,56,2015-01-01
The Kissing Booth 2,Romantic comedy,English,5.8,7/24/2020,131,2020-01-01
Come Sunday,Biopic,English,6.0,4/13/2018,106,2018-01-01
Beasts of No Nation,War drama,English/Akan,7.7,10/16/2015,136,2015-01-01
All Day and a Night,Drama,English,5.8,5/1/2020,121,2020-01-01
Altered Carbon: Resleeved,Anime/Science fiction,Japanese,6.5,3/19/2020,74,2020-01-01
War Machine,War-Comedy,English,6.0,5/26/2017,122,2017-01-01
Point Blank,Action,English,5.7,7/12/2019,86,2019-01-01
Rodney King,One-man show,English,5.8,4/28/2017,52,2017-01-01
Evelyn,Documentary,English,7.1,9/10/2019,96,2019-01-01
A 3 Minute Hug,Documentary,English/Spanish,6.5,10/28/2019,28,2019-01-01
Prime Time,Thriller,Polish,5.7,4/14/2021,91,2021-01-01
Citation,Drama,English,6.2,11/6/2020,151,2020-01-01
"Strip Down, Rise Up",Documentary,English,5.2,2/5/2021,112,2021-01-01
Mercury 13,Documentary,English,6.8,4/20/2018,79,2018-01-01
Travis Scott: Look Mom I Can Fly,Documentary,English,6.3,8/28/2019,85,2019-01-01
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,English,6.4,9/27/2019,41,2019-01-01
A Christmas Prince: The Royal Baby,Romantic comedy,English,5.4,12/5/2019,85,2019-01-01
Bomb Scared,Black comedy,Spanish/Basque,5.6,10/12/2017,89,2017-01-01
The Edge of Democracy,Documentary,Portuguese,7.2,6/19/2019,121,2019-01-01
Father of the Year,Comedy,English,5.2,7/20/2018,94,2018-01-01
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,English,7.7,11/17/2017,94,2017-01-01
Voyuer ,Documentary,English,6.2,12/1/2017,95,2017-01-01
A Futile and Stupid Gesture,Biographical/Comedy,English,6.8,1/26/2018,101,2018-01-01
What We Wanted,Drama,German,5.8,11/11/2020,93,2020-01-01
Taylor Swift: Reputation Stadium Tour,Concert Film,English,8.4,12/31/2018,125,2018-01-01
The Outsider,Crime drama,English/Japanese,6.3,3/9/2018,120,2018-01-01
Quincy,Documentary,English,7.6,9/21/2018,124,2018-01-01
The Three Deaths of Marisela Escobedo,Documentary,Spanish,8.2,10/14/2020,109,2020-01-01
TAU,Science fiction/Thriller,English,5.8,6/29/2018,97,2018-01-01
Giving Voice,Documentary,English,6.7,12/11/2020,90,2020-01-01
One Take,Documentary,Thai,5.7,6/18/2020,85,2020-01-01
Army of the Dead,Zombie/Heist,English,5.9,5/21/2021,148,2021-01-01
"What Happened, Miss Simone?",Documentary,English,7.6,6/26/2015,84,2015-01-01
The Last Laugh,Comedy-drama,English,5.6,1/11/2019,98,2019-01-01
The Decline,Thriller,French,5.9,3/27/2020,83,2020-01-01
Horse Girl,Drama,English,5.9,2/7/2020,104,2020-01-01
Invader Zim: Enter the Florpus,Animation / Science Fiction,English,7.5,8/16/2019,71,2019-01-01
Mercy,Thriller,English,4.2,11/22/2016,90,2016-01-01
Cargo,Drama/Horror,English,6.3,5/18/2018,104,2018-01-01
Period. End of Sentence.,Documentary,English/Hindi,7.4,2/12/2019,26,2019-01-01
The Wrong Missy,Comedy,English,5.7,5/13/2020,90,2020-01-01
The Disciple,Drama,Marathi,7.2,4/30/2021,129,2021-01-01
The Girl on the Train,Thriller,Hindi,4.4,2/26/2021,120,2021-01-01
The Rachel Divide,Documentary,English,6.2,4/27/2018,104,2018-01-01
The Larva Island Movie,Animation,English,5.1,7/23/2020,90,2020-01-01
Sol Levante,Anime / Short,English,4.7,4/2/2020,4,2020-01-01
Vampires vs. the Bronx,Horror comedy,English,5.6,10/2/2020,86,2020-01-01
Someone Great,Romantic comedy,English,6.2,4/19/2019,92,2019-01-01
Dark Forces,Thriller,Spanish,2.6,8/21/2020,81,2020-01-01
Baggio: The Divine Ponytail,Biopic,Italian,6.2,5/26/2021,92,2021-01-01
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,English,5.4,10/15/2020,98,2020-01-01
The Red Sea Diving Resort,Spy thriller,English,6.6,7/31/2019,130,2019-01-01
Between Two Ferns: The Movie,Comedy,English,6.1,9/20/2019,82,2019-01-01
Deidra & Laney Rob a Train,Drama,English,6.1,3/17/2017,94,2017-01-01
Tersanjung the Movie,Drama,Indonesian,6.1,4/1/2021,114,2021-01-01
Sergio,Biopic,English,6.1,4/17/2020,118,2020-01-01
American Son,Drama,English,5.8,11/1/2019,90,2019-01-01
6 Balloons,Drama,English,5.9,4/6/2018,75,2018-01-01
Justin Timberlake + The Tennessee Kids,Concert Film,English,7.7,10/12/2016,90,2016-01-01
Finding 'Ohana,Family,English,6.1,1/29/2021,123,2021-01-01
Street Flow,Drama,French,6.4,10/12/2019,96,2019-01-01
Lovefucked,Drama,Hindi,6.0,8/9/2019,106,2019-01-01
Jingle Jangle: A Christmas Journey,Family/Christmas musical,English,6.5,11/13/2020,119,2020-01-01
Ibiza,Comedy,English,5.2,5/25/2018,94,2018-01-01
Sarah Cooper: Everything's Fine,Variety show,English,5.6,10/27/2020,49,2020-01-01
Rose Island,Comedy,Italian,7.0,12/9/2020,117,2020-01-01
Earthquake Bird,Mystery,English,5.9,11/15/2019,107,2019-01-01
GIMS: On the Record,Documentary,French,6.8,9/17/2020,96,2020-01-01
Falling Inn Love,Romantic comedy,English,5.6,8/29/2019,97,2019-01-01
Cam,Psychological horror,English,5.9,11/16/2018,94,2018-01-01
Yes Day,Comedy,English,5.7,3/12/2021,86,2021-01-01
American Murder: The Family Next Door,Documentary,English,7.2,9/30/2020,82,2020-01-01
Good Sam,Drama,English,5.7,5/16/2019,89,2019-01-01
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,English,7.0,11/3/2020,14,2020-01-01
Thunder Force,Superhero-Comedy,English,4.4,4/9/2021,105,2021-01-01
The King,Historical drama,English,7.2,11/1/2019,140,2019-01-01
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,English,7.0,11/22/2018,104,2018-01-01
The Road to El Camino: A Breaking Bad Movie,Making-of,English,7.2,10/29/2019,13,2019-01-01
Paddleton,Drama-Comedy,English,7.2,2/22/2019,89,2019-01-01
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,English,7.6,6/12/2019,144,2019-01-01
Freaks: You're One of Us,Supernatural drama,German,5.4,9/2/2020,92,2020-01-01
Squared Love,Romantic comedy,Polish,5.0,2/11/2021,102,2021-01-01
My Own Man,Documentary,English,6.4,12/13/2014,81,2014-01-01
Biggie: I Got a Story to Tell,Documentary,English,6.9,3/1/2021,97,2021-01-01
