title,genre,language,rating,duration_min,year
Lionheart,Comedy,English,5.7,94.0,2019
Dolly Kitty and Those Twinkling Stars,Drama,Hindi,5.4,120.0,2020
"Bikram: Yogi, Guru, Predator",Documentary,English,6.7,86.0,2019
Strong Island,Documentary,English,6.4,107.0,2017
A Secret Love,Documentary,English,7.9,82.0,2020
Space Sweepers,Science fiction,Korean,6.6,136.0,2021
Seventeen,Coming-of-age comedy-drama,Spanish,7.2,99.0,2019
Nobody Knows I'm Here,Drama,Spanish,6.5,91.0,2020
The Laundromat,Comedy-drama,English,6.3,98.0,2019
The Meyerowitz Stories (New and Selected),Comedy-drama,English,6.9,112.0,2017
"Lorena, Light-Footed Woman",Documentary,Spanish,7.0,28.0,2019
End Game,Documentary,English,7.1,40.0,2018
The Babysitter: Killer Queen,Comedy/Horror,English,5.8,102.0,2020
iBoy,Science fiction/Thriller,English,6.0,90.0,2017
I Am Not an Easy Man,Romantic comedy,French,6.3,98.0,2018
Ride or Die,Psychological thriller drama,Japanese,5.5,142.0,2021
The Angel,Spy thriller,English,6.6,114.0,2018
Get the Grift,Comedy,Portuguese,5.5,94.0,2021
Concrete Cowboy,Drama,English,6.3,111.0,2021
Porta dos Fundos: The Last Hangover,Comedy,Portuguese,6.3,44.0,2018
Tig,Documentary,English,7.4,80.0,2015
The Midnight Sky,Science fiction,English,5.6,118.0,2020
Ultras,Sports film,Italian,5.9,108.0,2020
Tony Robbins: I Am Not Your Guru,Documentary,English,6.7,116.0,2016
June & Kopi,Drama,Indonesian,6.3,90.0,2021
We Are One,Documentary,French,4.6,86.0,2020
Monster,Drama,English,6.5,98.0,2021
Grass Is Greener,Documentary,English,7.1,97.0,2019
Hubie Halloween,Comedy,English,5.2,103.0,2020
Little Evil,Comedy horror,English,5.7,94.0,2017
Ferry,Crime drama,Dutch,7.1,106.0,2021
Desperados,Romantic comedy,English,5.2,106.0,2020
Holidate,Romantic comedy/Holiday,English,6.1,104.0,2020
Lust Stories,Drama,Hindi,6.5,120.0,2018
Under the Riccione Sun,Romantic teenage drama,Italian,5.4,101.0,2020
Burning Sands,Drama,English,6.1,102.0,2017
Dead Kids,Thriller,Filipino,5.5,94.0,2019
Spenser Confidential,Action comedy,English,6.2,111.0,2020
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,Spanish/English,7.3,96.0,2020
Tallulah,Comedy-drama,English,6.7,111.0,2016
Step Sisters,Comedy,English,5.5,108.0,2018
The Most Assassinated Woman in the World,Thriller,French,5.3,102.0,2018
Serious Men,Drama,Hindi,6.8,114.0,2020
All Together Now,Drama,English,6.5,93.0,2020
Win It All,Comedy,English,6.2,88.0,2017
Offering to the Storm,Thriller,Spanish,6.2,139.0,2020
"Hello Privilege. It's Me, Chelsea",Documentary,English,4.4,64.0,2019
The Claudia Kishi Club,Documentary,English,6.9,17.0,2020
The White Helmets,Documentary,English,7.5,40.0,2016
The Do-Over,Action comedy,English,5.7,108.0,2016
The Old Guard,Superhero/Action,English,6.7,124.0,2020
Tigertail,Drama,English/Taiwanese/Mandarin,6.5,91.0,2020
Recovery Boys,Documentary,English,6.6,89.0,2018
Rajma Chawal,Comedy-drama,Hindi,5.8,118.0,2018
The Kissing Booth,Romantic comedy,English,6.0,105.0,2018
The Trader,Documentary,Georgian,6.8,23.0,2018
Benji,Family film,English,6.3,87.0,2018
15-Aug,Comedy-drama,Marathi,5.8,124.0,2019
Chadwick Boseman: Portrait of an Artist,Documentary,English,6.5,21.0,2021
Kingdom of Us,Documentary,English,7.0,109.0,2017
Audrie & Daisy,Documentary,English,7.2,98.0,2016
5 Star Christmas,Comedy,Italian,4.6,95.0,2018
Father Soldier Son,Documentary,English,7.3,100.0,2020
The Occupant,Thriller,Spanish,6.4,103.0,2020
Gunjan Saxena: The Kargil Girl,Drama,Hindi,5.3,112.0,2020
See You Yesterday,Science fiction,English,5.2,87.0,2019
Pee-wee's Big Holiday,Adventure,English,6.1,89.0,2016
Anelka: Misunderstood,Documentary,French,6.4,94.0,2020
Oxygen,Science fiction thriller,French,6.5,101.0,2021
Tony Parker: The Final Shot,Documentary,French,6.8,98.0,2021
His House,Thriller,English,6.5,93.0,2020
13th,Documentary,English,8.2,100.0,2016
Ladies First,Documentary,English/Hindi,7.2,39.0,2018
Calibre,Thriller,English,6.8,101.0,2018
Lost Girls,Crime drama,English,6.1,95.0,2020
Brahman Naman,Comedy,English,5.6,95.0,2016
Girlfriend's Day,Comedy,English,5.2,70.0,2017
Anima,Musical / Short,English,7.7,15.0,2019
The Irishman,Crime drama,English,7.8,209.0,2019
Dolly Parton: A MusiCares Tribute,Documentary,English,6.5,55.0,2021
IO,Science fiction/Drama,English,4.7,95.0,2019
After Maria,Documentary,English/Spanish,4.6,37.0,2019
Amanda Knox,Documentary,English,6.9,92.0,2016
Dad Wanted,Family,Spanish,5.7,102.0,2020
To All the Boys: P.S. I Still Love You,Romantic comedy,English,6.0,102.0,2020
Naked,Comedy,English,5.4,96.0,2017
Guilty,Thriller,Hindi,5.4,119.0,2020
To All the Boys I've Loved Before,Romantic comedy,English,7.1,99.0,2018
Tribhanga ? Tedhi Medhi Crazy,Drama,Hindi,6.1,95.0,2021
Team Foxcatcher,Documentary,English/Russian,7.3,90.0,2016
The Players,Comedy,Italian,4.6,88.0,2020
Take Your Pills,Documentary,English,6.4,87.0,2018
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,English,7.1,36.0,2017
Wheelman,Action thriller,English,6.4,82.0,2017
Resurface,Documentary,English,7.0,27.0,2017
Dangerous Lies,Thriller,English,5.3,97.0,2020
A Life of Speed: The Juan Manuel Fangio Story,Documentary,Spanish,6.8,92.0,2020
One of Us,Documentary,English,7.1,95.0,2017
A Tale of Two Kitchens,Documentary,English/Spanish,6.3,30.0,2019
Over the Moon,Animation/Musical/Adventure,English,6.4,95.0,2020
Raat Akeli Hai,Thriller,Hindi,7.3,149.0,2020
Two Catalonias,Documentary,Spanish/Catalan,6.4,116.0,2018
Keith Richards: Under the Influence,Documentary,English,7.1,81.0,2015
ReMastered: Who Shot the Sheriff?,Documentary,English,6.9,57.0,2018
Like Father,Comedy,English,6.1,103.0,2018
ReMastered: The Two Killings of Sam Cooke,Documentary,English,7.3,64.0,2019
Winter on Fire: Ukraine's Fight for Freedom,Documentary,English/Ukranian/Russian,8.4,91.0,2015
Hold the Dark,Thriller,English,5.6,125.0,2018
Below Zero,Drama,Spanish,6.2,106.0,2021
Sierra Burgess Is a Loser,Romantic comedy-drama,English,5.8,105.0,2018
Casting JonBenet,Documentary,English,6.1,80.0,2017
The Half of It,Romance,English,6.9,105.0,2020
Sometimes,Drama,Tamil,7.2,101.0,2018
Just Another Christmas,Comedy,Portuguese,6.7,101.0,2020
Otherhood,Comedy,English,6.1,100.0,2019
Octonauts & the Caves of Sac Actun,Animation,English,6.2,72.0,2020
CounterPunch ,Documentary,English,6.7,91.0,2017
Octonauts & the Great Barrier Reef,Animation,English,7.3,47.0,2020
The Claus Family,Fantasy,Dutch,5.8,96.0,2020
Moxie,Drama,English,6.7,111.0,2021
The Woman in the Window,Psychological thriller,English,5.7,100.0,2021
The Last Thing He Wanted,Political thriller,English,4.3,115.0,2020
The Fundamentals of Caring,Comedy-drama,English,7.3,97.0,2016
We Can Be Heroes,Superhero,English,4.7,100.0,2020
Bird Box,Psychological thriller,English,6.6,124.0,2018
Love per Square Foot,Romantic comedy,Hindi,7.2,133.0,2018
Nappily Ever After,Comedy-drama,English,6.4,98.0,2018
The Dirt,Biopic,English,7.0,108.0,2019
All in My Family,Documentary,English/Mandarin,6.8,39.0,2019
Cadaver,Horror,Norwegian,5.1,86.0,2020
Murder Mystery,Comedy mystery,English,6.0,97.0,2019
Class of '83,Drama,Hindi,5.8,98.0,2020
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,English,5.5,83.0,2018
XOXO,Drama,English,5.3,92.0,2016
Whipped,Romantic comedy,Indonesian,4.1,97.0,2020
Velvet Buzzsaw,Thriller,English,5.7,112.0,2019
The Death and Life of Marsha P. Johnson,Documentary,English,7.3,105.0,2017
Alien Xmas,Stop Motion,English,6.2,42.0,2020
Kaali Khuhi,Mystery,Hindi,3.4,90.0,2020
Hillbilly Elegy,Drama,English,6.7,117.0,2020
Little Miss Sumo,Documentary,Japanese,6.7,19.0,2019
Leyla Everlasting,Comedy,Turkish,3.7,112.0,2020
Isi & Ossi,Romantic comedy,German,6.4,113.0,2020
Love Wedding Repeat,Romantic comedy,English,5.5,100.0,2020
Heroin(e) ,Documentary,English,6.8,39.0,2017
Long Live Brij Mohan,Comedy,Hindi,6.8,105.0,2018
Shawn Mendes: Live in Concert,Concert Film,English,7.4,87.0,2020
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,English,6.5,123.0,2020
Who Would You Take to a Deserted Island?,Drama,Spanish,5.3,93.0,2019
Wine Country,Comedy,English,5.5,103.0,2019
Let It Snow,Romantic comedy,English,5.8,92.0,2019
